product_id,current_price,demand,season,season_num,competitor_price,category,category_num,discount,sales_volume
P00001,301.0,142.0,summer,0,321.0,electronics,0,26.0,92
P00002,634.0,73.0,spring,2,407.0,electronics,0,4.0,10
P00003,469.0,53.0,summer,0,428.0,electronics,0,9.0,17
P00004,305.0,261.0,fall,3,653.0,clothing,1,19.0,220
P00005,270.0,132.0,fall,3,882.0,clothing,1,5.0,112
P00006,899.0,42.0,winter,1,707.0,accessories,2,4.0,9
P00007,219.0,65.0,spring,2,640.0,electronics,0,1.0,50
P00008,813.0,154.0,summer,0,734.0,clothing,1,8.0,24
P00009,320.0,137.0,fall,3,715.0,clothing,1,28.0,120
P00010,665.0,208.0,spring,2,882.0,clothing,1,9.0,80
P00011,413.0,150.0,spring,2,486.0,electronics,0,7.0,84
P00012,529.0,231.0,summer,0,670.0,clothing,1,30.0,117
P00013,657.0,132.0,spring,2,475.0,home,3,24.0,33
P00014,286.0,63.0,summer,0,321.0,electronics,0,26.0,47
P00015,571.0,147.0,summer,0,233.0,electronics,0,5.0,25
P00016,298.0,177.0,summer,0,673.0,home,3,4.0,137
P00017,862.0,292.0,spring,2,630.0,accessories,2,20.0,32
P00018,329.0,64.0,spring,2,693.0,accessories,2,17.0,45
P00019,860.0,127.0,summer,0,567.0,electronics,0,26.0,15
P00020,507.0,238.0,spring,2,488.0,electronics,0,19.0,94
P00021,968.0,196.0,summer,0,950.0,electronics,0,17.0,28
P00022,542.0,247.0,winter,1,469.0,home,3,1.0,77
P00023,690.0,210.0,spring,2,453.0,clothing,1,11.0,35
P00024,612.0,179.0,spring,2,421.0,home,3,7.0,36
P00025,584.0,286.0,winter,1,839.0,clothing,1,3.0,134
P00026,390.0,209.0,winter,1,263.0,clothing,1,27.0,56
P00027,475.0,194.0,winter,1,556.0,accessories,2,29.0,104
P00028,359.0,164.0,summer,0,175.0,home,3,19.0,42
P00029,658.0,251.0,summer,0,386.0,home,3,22.0,47
P00030,512.0,223.0,fall,3,459.0,electronics,0,3.0,86
P00031,220.0,232.0,winter,1,833.0,home,3,8.0,201
P00032,451.0,59.0,fall,3,382.0,clothing,1,8.0,23
P00033,946.0,294.0,summer,0,698.0,clothing,1,11.0,27
P00034,759.0,101.0,spring,2,414.0,home,3,13.0,14
P00035,673.0,200.0,winter,1,162.0,accessories,2,29.0,32
P00036,257.0,102.0,spring,2,645.0,accessories,2,2.0,78
P00037,709.0,281.0,summer,0,465.0,electronics,0,5.0,38
P00038,880.0,291.0,winter,1,767.0,electronics,0,14.0,56
P00039,674.0,219.0,fall,3,787.0,clothing,1,22.0,81
P00040,898.0,259.0,fall,3,533.0,home,3,18.0,32
P00041,981.0,199.0,summer,0,791.0,clothing,1,3.0,14
P00042,388.0,190.0,spring,2,465.0,clothing,1,29.0,115
P00043,885.0,196.0,summer,0,405.0,home,3,0.0,21
P00044,761.0,256.0,spring,2,590.0,clothing,1,26.0,54
P00045,765.0,157.0,summer,0,264.0,clothing,1,8.0,14
P00046,442.0,148.0,fall,3,448.0,accessories,2,22.0,64
